ID,Question,Type,Multiple Correct Answers,Option 1,Is Correct,Option 2,is_correct_2,Option 3,is_correct_3,Option 4,is_correct_4,Possible Answer 1,Possible Answer 3,Possible Answer 2,Possible Answer 4,,
QTS-2025-01,"<p><span style=""color: rgb(58, 58, 58);""> Which of the following fields are required to generate a PDF using the PDF Generator?</span></p>",Choices,0,Name,0,"DMS Name, Document Conversion Type and Template/Document Variable",1,Store the output in a variable/Local File Path and File Name,0,All of the above,0,,,,,,4
QTS-2025-02,"<p><span style=""color: rgb(58, 58, 58);""> Which of the following document conversions can be performed using the PDF Generator?</span></p>",Choices,0,Docx To PDF,1,Xlsx To Xlsx,0,Xlsm To Xlsm,0,All of the above,0,,,,,,4
QTS-2025-03,"<p><span style=""color: rgb(58, 58, 58);"">How can you provide an input file to a PDF generator for generating dynamic documents?</span></p>",Choices,0,Through Document Variables,0,Using a Template,1,Using Either Document Variables or a Template,0,None of the Above,0,,,,,,3
QTS-2025-04,"<p><span style=""color: rgb(58, 58, 58);"">What does the acronym IMAP stand for?</span></p>",Choices,0,Internet Messaging Access Protocol,1,Internet Mail Access Protocol,0,Internet Message Access Protocol,0,Internet Mail Application Protocol,0,,,,,,3
QTS-2025-05,"<p><span style=""color: rgb(58, 58, 58);"">In Views, what is the primary purpose of the ""Publish"" operation?</span></p>",Choices,0,To preserve the current changes to the view,0,To immediately reflect changes on the live view without additional steps,0,To perform validation before saving.,1,To deploy changes to all users without manual intervention.,0,,,,,,2
QTS-2025-06,"<p><span style=""color: rgb(58, 58, 58);"">What are the common types of access permissions in the EIQ Platform?</span></p>",Choices,0,"Organization Admin, Process Admin, General User",0,"Read, Write, Execute, Delete",1,"Admin, User, Viewer",0,"Create, Edit, Share, Delete",0,,,,,,1
QTS-2025-07,"<p><span style=""color: rgb(58, 58, 58);"">How can you store the output generated by a PDF generator?</span></p>",Choices,0,Store the output in a variable,0,Save the output to a local file path,1,DMS file path,0,All of the above,0,,,,,,4
QTS-2025-08,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following file types can be used as input for a template in PDF generator?</span></p>",Choices,0,"DOCX, XLSX, XLSM",1,"DOCX, JSON, PDF, RPT DESIGN, XLSX, XLSM, YML",0,"JPG, PNG, JPEG",0,"AVI, WMV, MP3, MPG",0,,,,,,1
QTS-2025-09,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following tags is typically used in document templates to define placeholders for dynamic content, which will be replaced with actual values during the document generation process?</span></p>",Choices,0,<variable></variable>,0,<placeholder></placeholder>,0,<value></value>,1,<table></table>,0,,,,,,1
QTS-2025-10,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following tags is commonly used in Excel templates to define placeholders for dynamic values, which will be replaced with actual data during the excel generation process?</span></p>",Choices,0,<variable></variable>,1,<table></table>,0,<dynamic></dynamic>,0,<value></value>,0,,,,,,2
QTS-2025-11,"<p><span style=""color: rgb(58, 58, 58);"">Which variable type is typically used in table structures within templates to define placeholders for dynamic values that will be replaced during the PDF/XLSX/XLSM generation process?</span></p>",Choices,0,Alphanumeric,0,Number,0,MDM with collection enabled,0,Document Variable,1,,,,,,3
QTS-2025-12,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following fields are required to properly configure a PDF Extractor for extracting data?</span></p>",Choices,0,Name,0,Document Variable / Local Directory,1,Output Variable,0,All of the above,0,,,,,,4
QTS-2025-13,"<p><span style=""color: rgb(58, 58, 58);"">Which option is used to specify the input file for a PDF Extractor?</span></p>",Choices,0,Document Variable,1,Local Directory,0,Either Document Variable or Local Directory,0,None of the above,0,,,,,,3
QTS-2025-14,"<p><span style=""color: rgb(58, 58, 58);"">Which of the following protocols is used to retrieve email messages from a mail server, allowing users to access their emails from multiple devices?</span></p>",Choices,1,SMTP (Simple Mail Transfer Protocol),1,IMAP (Internet Message Access Protocol),0,POP3 (Post Office Protocol version 3),1,MAPI (Messaging Application Programming Interface),0,,,,,,2
QTS-2025-15,"<p><span style=""color: rgb(58, 58, 58);"">Which node in the process flow is used to configure IMAP settings?</span></p>",Choices,0,Task,0,Rule,0,Start,1,Email,0,,,,,,3
QTS-2025-16,"<p><span style=""color: rgb(58, 58, 58);"">In Dataflow, how can you check if data already exists in the database and then either update the data for an existing ID or insert new data, without using a custom query node?</span></p>",Choices,0,This can be achieved using the Aggregate node,1,"Configure the columns in the Decision Table tab and use the Decision node to check, along with the DB node for updating and the Writer node for inserting new data",0,"Simply add a Writer node, and it will handle both the update and insertion of old and new data",0,All of the above,0,,,,,,2
QTS-2025-17,"<p><span style=""color: rgb(58, 58, 58);"">What is the difference between the Aggregate node and the Transformer node in Dataflow?</span></p>",Choices,0,Both nodes are identical and serve the same function.,0,"The Aggregate node is used for SQL functions along with grouping and sorting, while the Transformer node is used for SQL functions",1,There are no nodes called Aggregate node or Transformer node.,0,None of the above.,0,,,,,,2
QTS-2025-18,"<p><span style=""color: rgb(58, 58, 58);"">In Dataflow, the Reader node is used to read data from the source server, and the Writer node is used to write data to the destination server. What is the purpose of the DB node?</span></p>",Choices,0,It is similar to the Writer node,0,The DB node allows you to write special SQL queries directly inside it and store the output in the database,0,It is used for performing SQL operations on the required data,0,None of the above,1,,,,,,3
QTS-2025-19,"<p><span style=""color: rgb(58, 58, 58);"">In Dataflow, what is the purpose of the Decision node?</span></p>",Choices,0,"It helps in defining complex business conditions in expression format, and set the response to a variable",0,It is used for transforming data,1,It is used for reading and writing data from/to the database,0,None of the above,0,,,,,,1
QTS-2025-20,"<p><span style=""color: rgb(58, 58, 58);"">What is the best practice for reading data from a spreadsheet and writing it to a database in Dataflow?</span></p>",Choices,0,"Create a folder on the server, upload the file to it, and create a Data Model with the file configuration. Ensure the column names match exactly as in the spreadsheet, and in the Reader node, specify the server file path",0,"Create a Data Model and upload the file to it. Assign the Data Model to the Reader node. When receiving a new file from the client, reconfigure the Data Model in the Dataflow",1,There is no way to use a spreadsheet in Dataflow,0,None of the above,0,,,,,,1
QTS-2025-21,"<p><span style=""color: rgb(58, 58, 58);"">What happens if there is an error in a node during the execution of a Dataflow process?</span></p>",Choices,0,"The Dataflow process will stop, and no further operations will be executed",0,"The error will be logged/set to error variable, and the dataflow will continue with the next activity",1,"The error is ignored, and the data continues to flow without interruption",0,None of the above,0,,,,,,2
QTS-2025-22,"<p><span style=""color: rgb(58, 58, 58);"">What are the key configurations that must be defined within the JSON file for a Custom Activity?</span></p>",Choices,1,Configure node name and node description,1,"Define the node_handler, property class, and validator class",1,Set up input/output mapping,0,All of the above,0,,,,,,4
QTS-2025-23,"<p><span style=""color: rgb(58, 58, 58);"">Where on the platform is the Custom Activity intended to be utilized?</span></p>",Choices,0,Data flow,1,ML flow,0,Webapps,0,Process flow,0,,,,,,4
QTS-2025-24,"<p><span style=""color: rgb(58, 58, 58);"">What are the types of Custom Activities that can be created?</span></p>",Choices,0,Custom Activity with Java Jar,0,Custom Activity with Dot Net code,1,Custom Activity as Subprocess,0,Custom Activity with Java Jar and Custom Activity as Subprocess,0,,,,,,4
QTS-2025-25,"<p><span style=""color: rgb(58, 58, 58);"">Which Java classes must be implemented in the Custom Activity Java project?</span></p>",Choices,0,Mapping class,1,Handler class,0,Validator class,0,All of the above,0,,,,,,4
QTS-2025-26,"<p><span style=""color: rgb(58, 58, 58);"">Which type of Java project is used for creating a Custom Activity?</span></p>",Choices,0,Maven Project,0,Servlet Project,1,Gradle Project,0,Spring boot,0,,,,,,1
QTS-2025-27,"<p><span style=""color: rgb(58, 58, 58);"">What is the first step in the theme and template to view the design page?</span></p>",Choices,0,Uploading CSS and JS files in resource lib,1,Adding JSON structure in DB,0,Adding JSON structure in resource lib,0,None of the above,0,,,,,,2
QTS-2025-28,"<p><span style=""color: rgb(58, 58, 58);"">Can we include the external CSS and JS file in view page?</span></p>",Choices,0,Yes,0,No,1,,0,,0,,,,,,1
QTS-2025-29,"<p><span style=""color: rgb(58, 58, 58);"">What are the events presents before load?</span></p>",Choices,0,Execute Look up and Excute Process Flow,0,Execute Look up Only,0,Excute Process Flow Only,1,Execute JS Only,0,,,,,,1
QTS-2025-30,"<p><span style=""color: rgb(58, 58, 58);"">Where can we hide and show the components besides using the visibility options in the configuration during design time?</span></p>",Choices,0,Styles,0,Custom CSS,1,Layers,0,Custom JS,0,,,,,,3
QTS-2025-31,"<p><span style=""color: rgb(58, 58, 58);"">When do we use Custom Activity?</span></p>",Choices,0,When we integrate with third party application for a specific use multiple times,0,When we execute repetitive code as part of flow execution,0,Both when we integrate with third party application for a specific use multiple times & when we execute repetitive code as part of flow execution,1,When we dont want to use Web Service,0,,,,,,3
QTS-2025-32,"<p><span style=""color: rgb(58, 58, 58);"">What is the pop-up component available in views?</span></p>",Choices,0,Dialog modal,0,Custom div,0,Block container,1,Card,0,,,,,,1
QTS-2025-33,"<p><span style=""color: rgb(58, 58, 58);"">Can we apply multiple theme and template to different views within a single web app?</span></p>",Choices,0,Yes,1,No,0,,0,,0,,,,,,1
QTS-2025-34,"<p><span style=""color: rgb(58, 58, 58);"">Where should the templates related to CSS and JS be included?</span></p>",Choices,0,Template configuration,0,Theme configuration,0,Resource lib,0,View level,1,,,,,,1
QTS-2025-35,"<p><span style=""color: rgb(58, 58, 58);"">Which system variables are used for platform-related dynamic values in themes/template?</span></p>",Choices,0,Velocity variables,0,local variables,0,Instance variables,0,Local variables,1,,,,,,1
