ID,Question,Type,Multiple Correct Answers,Option 1,Is Correct,Option 2,is_correct_2,Option 3,is_correct_3,Option 4,is_correct_4,Possible Answer 1,Possible Answer 3,Possible Answer 2,Possible Answer 4
1,"<p><span style=""color: rgb(58, 58, 58);"">The status of execution of the process is visible in the:</span></p>",Choices,0, Custom Task,0, My Instance,1, My Process,0, My Tasks,0,,,,
2,"<p><span style=""color: rgb(58, 58, 58);"">Option to select the workspace will be available in the:</span></p>",Choices,0, Left Panel,1, Header,0, Footer,0,,0,,,,
3,"<p><span style=""color: rgb(58, 58, 58);"">The active tasks are listed in:</span></p>",Choices,0, My Process,0, My Tasks,1, My instance,0,,0,,,,
4,"<p><span style=""color: rgb(58, 58, 58);"">If a custom task is assigned to a participant then:</span></p>",Choices,0, The custom task will be displayed only when it is in active state,1, If the task is completed,0, Both,0,,0,,,,
5,"<p><span style=""color: rgb(58, 58, 58);"">The user can initiate a new process at run time from:</span></p>",Choices,0, My Instance,0, Custom Task,0, My Process,1, My Tasks,0,,,,
6,"<p><span style=""color: rgb(58, 58, 58);"">Once the user is created then the password can be created in:</span></p>",Choices,0, Header,0,Advance section,1, Secondary Navigation,0,,0,,,,
7,"<p><span style=""color: rgb(58, 58, 58);"">The roles dropdown will list:</span></p>",Choices,0, Only fixed set of roles,0, All custom roles that are created,1,,0,,0,,,,
8,"<p><span style=""color: rgb(58, 58, 58);"">The access permission of real world users who will be a part of the solution designed on the platform:</span></p>",Choices,0, General User,1,Organization Admin,0, Process Admin,0,,0,,,,
9,"<p>The process admin will have the access to:</p><p style=""text-align: left;""></p><ul><li><p><strong><br></strong></p></li></ul>",Choices,0, Management section,0, App-studio,0,Both Management section & App-studio,1,None,0,,,,
10,"<p><span style=""color: rgb(58, 58, 58);"">This user will be having the highest level of permission:</span></p>",Choices,0, Organization Admin,1, Process Admin,0, General User,0,,0,,,,
11,"<p><span style=""color: rgb(58, 58, 58);"">Organization Admin will be able to access:</span></p>",Choices,0, App-studio,0, Management,0, Workspace,0, All of the above,1,,,,
